,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
0,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,951,148,4.1,10499,22999,Google,2025,54.35
1,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,25710,2989,4.2,13499,19999,Coolita,2025,32.5
2,realme,realme TechLife CineSonic Q,32,HD Ready,LED,40 W Speak...,8264,648,4.1,8999,23999,Google,2025,62.5
3,iFFALCON,iFFALCON by TCL S55,32,HD Ready,LED,HDR 10 | 16W Dolby ...,2340,173,4.1,8999,19990,Google,2025,54.98
4,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1282,157,4.1,12990,40990,Android,2025,68.31
5,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,8304,929,4.0,7490,29990,Android,2024,75.03
6,Thomson,Thomson,32,HD Ready,LED,20W Sound Output | 2 Speakers | Wide View An...,30797,4898,4.1,6999,15999,Not Specified,2025,56.25
9,Samsung,Samsung,32,HD Ready,LED,Voice Assistance Remote Control ...,102783,6389,4.3,11990,17900,Tizen,2025,33.02
10,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,25710,2989,4.2,7699,13999,Coolita,2025,45.0
11,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1282,157,4.1,7590,28990,Android,2025,73.82
12,XIAOMI,XIAOMI by Mi Fire Tv,32,HD Ready,LED,High-Definition Disp...,95910,6457,4.3,11999,24999,Fire OS,2025,52.0
13,TCL,TCL V5C,32,Full HD,LED,100% Color Volume Plus | 24W Do...,1271,135,4.0,13490,22990,Google,2025,41.32
14,iFFALCON,iFFALCON by TCL U65,55,Ultra HD (4K),LED,MEMC | Dolby ...,2203,205,4.2,25999,73990,Google,2025,64.86
16,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,8304,929,4.0,5890,22990,Android,2024,74.38
17,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,22990,Android,2025,74.38
18,XIAOMI,XIAOMI by Mi A Series,32,HD Ready,LED,200+ Free Channels |Dolby Audi...,95910,6457,4.3,11999,24999,Google,2024,52.0
20,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",9842,1303,4.3,31999,59999,Google,2024,46.67
21,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,5721,807,4.2,19999,34990,Android,2023,42.84
22,Thomson,Thomson,24,HD Ready,LED,20W Sound Output | 2 Speakers | Wide View An...,31051,3642,4.1,5499,10499,Not Specified,2025,47.62
23,Acer,Acer V Pro Series,43,Ultra HD (4K),LED,Not Specified,1924,203,4.0,22999,51999,Google,2025,55.77
25,Acer,Unknown,32,HD Ready,LED,Android 14 (Black) | 16GB Stora...,9667,932,3.9,9999,22999,Google,2024,56.52
26,LG,LG LR570,32,HD Ready,LED,"Alpha5, 100...",70564,5698,4.4,13489,21240,webOS,2025,36.49
27,Thomson,Thomson Alpha QLED,32,HD Ready,LED,36W Sound Output | W...,2290,370,4.2,8299,14999,Linux,2025,44.67
28,realme,realme TechLife,55,Ultra HD (4K),LED,5.0 with Dolby A...,2227,261,4.1,28999,70999,Google,2025,59.16
29,Acer,Acer I PRO Series,43,Full HD,LED,Android 14 (Black) | 16GB Storage ...,9667,932,3.9,17999,43999,Google,2024,59.09
30,InnoQ,InnoQ Spectra,43,Full HD,LED,30W Boom Speakers | 1000+ Smart Apps ...,8304,929,4.0,12990,39990,Android,2024,67.52
31,LG,LG AI TV UA8200,43,Ultra HD (4K),LED,Alpha7 AI Processo...,23739,1727,4.4,30990,48690,webOS,2025,36.35
34,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",9842,1303,4.3,21999,44999,Google,2024,51.11
36,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",1695,365,4.2,28999,49999,Google,2025,42.0
37,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",6295,918,4.3,29999,59999,VIDAA,2025,50.0
38,SONY,Unknown,55,Ultra HD (4K),LED,Not Specified,7885,1065,4.7,62999,99900,Google,2025,36.94
39,Blaupunkt,Blaupunkt Quantum Dot,40,Full HD,LED,48W Sound Outpu...,11281,2790,4.5,15499,21999,Android,2025,29.55
40,realme,realme TechLife CineSonic,31,HD Ready,LED,"Dolby Audio,...",8264,648,4.1,9999,22999,Google,2025,56.52
41,XIAOMI,XIAOMI by Mi X Series,43,Ultra HD (4K),LED,HDR 10 | Audio | DTS X |...,74950,5778,4.3,23999,42999,Google,2024,44.19
42,realme,realme TechLife,43,Ultra HD (4K),LED,5.0 with Dolby Au...,927,96,4.2,19999,43999,Google,2025,54.55
43,Samsung,Samsung Crystal 4K Infinity Vision,43,Ultra HD (4K),LED,...,51026,3779,4.3,29490,44900,Tizen,2025,34.32
44,realme,realme TechLife,65,Ultra HD (4K),LED,5.0 with Dolby A...,2227,261,4.1,40999,93999,Google,2025,56.38
46,Blaupunkt,Blaupunkt,50,Ultra HD (4K),LED,"60W Sound Output, Dolby Atm...",11281,2790,4.5,26499,49999,Google,2022,47.0
47,Acer,Acer G plus Series,43,Full HD,LED,(black) 2024 Model,2043,179,4.0,17999,44999,Google,2024,60.0
48,Thomson,Thomson Alpha,32,HD Ready,LED,30 W Sound Output & Bezel-Less Design,48453,6284,4.3,7999,14999,Linux,2022,46.67
49,XIAOMI,XIAOMI by Mi X Series,50,Ultra HD (4K),LED,4K Dolby Vision |,74950,5778,4.3,27999,49999,Google,2024,44.0
50,Thomson,Thomson Alpha,24,HD Ready,LED,20 W Sound Output,48453,6284,4.3,5899,9999,Linux,2023,41.0
51,SONY,SONY Bravia 2,43,Ultra HD (4K),LED,Not Specified,12026,1681,4.7,38490,59900,Google,2024,35.74
52,LG,LG AI TV UR7500,50,Ultra HD (4K),LED,Alpha5 AI Processo...,23739,1727,4.4,36990,69990,webOS,2025,47.15
53,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",82,4,4.0,38999,79999,Google,2024,51.25
55,Thomson,Thomson TV,43,Ultra HD (4K),LED,40W Sound Output ...,884,194,4.3,18499,32999,Jio,2025,43.94
56,SONY,Unknown,55,Ultra HD (4K),LED,Feature for,7885,1065,4.7,55999,99900,Google,2024,43.94
57,LG,LG AI TV UR7500,43,Ultra HD (4K),LED,Alpha5 AI Processo...,23739,1727,4.4,29990,49990,webOS,2025,40.01
60,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | Real Frameless | Noise Reductio...,8304,929,4.0,6990,24990,Not Specified,2024,72.03
61,XIAOMI,Unknown,55,Ultra HD (4K),LED,Alexa bui...,74950,5778,4.3,34999,54999,Fire OS,2025,36.36
62,LG,LG AI TV UR7500,55,Ultra HD (4K),LED,Alpha5 AI Processo...,23739,1727,4.4,40990,71990,webOS,2025,43.06
65,iFFALCON,iFFALCON by TCL U65,65,Ultra HD (4K),LED,MEMC | Dolby ...,2203,205,4.2,39999,120990,Google,2025,66.94
66,XIAOMI,XIAOMI G Series,32,HD Ready,LED,Dolby Audio| Wide Colo...,2661,195,4.0,13999,26999,Google,2025,48.15
68,LG,LG UR7500,55,Ultra HD (4K),LED,"Alpha5 AI, AI Pictu...",23739,1727,4.4,40990,71990,webOS,2023,43.06
69,iFFALCON,iFFALCON by TCL U64,43,Ultra HD (4K),LED,"24W Audio, HDR10",79234,8506,4.2,17999,50990,Google,2024,64.7
70,Thomson,Thomson FA Series,40,Full HD,LED,Dolby Digital Plus &,126481,21839,4.3,14499,26999,Android,2023,46.3
73,Hisense,Hisense,32,HD Ready,LED,"Dolby Audio, 30W Powerful Sound,, Sup...",2570,486,4.2,11499,24999,Google,2024,54.0
74,Reliance,Reliance,24,HD Ready,LED,"A+ & Full HD Support Display,...",283,28,3.9,6990,14990,Android,2025,53.37
75,Acer,Acer I PRO Series,43,Ultra HD (4K),LED,Android 14 (Black) | MEMC | ...,9667,932,3.9,19999,39999,Google,2024,50.0
76,Samsung,Samsung Crystal 4K Vision Pro,43,Ultra HD (4K),LED,Bright Vision | 4...,51026,3779,4.3,28990,46900,Tizen,2024,38.19
77,TCL,TCL C69B,55,Ultra HD (4K),LED,"Dolby, ONKYO 2.1ch Subwoof...",11161,1206,4.2,36990,120990,Google,2024,69.43
80,Samsung,Samsung,43,Full HD,LED,Voice Assistance Remote Control ...,178,16,4.4,23990,29900,TizenFull,2025,19.77
81,Blaupunkt,Blaupunkt CyberSound G2 Series,40,Full HD,LED,Dolby Digital Plus &...,16584,3516,4.4,14499,26999,Android,2023,46.3
82,iFFALCON,iFFALCON by TCL U64,55,Ultra HD (4K),LED,"24W Dolby Audio, HDR10",79234,8506,4.2,25999,73990,Google,2024,64.86
83,Thomson,Thomson World Cup,43,Full HD,LED,40 W Sound Output & Bezel-Less Desi...,48453,6284,4.3,14499,22999,Linux,2023,36.96
85,Coocaa,Coocaa Frameless,43,Ultra HD (4K),LED,HDR 10+ Dolby Vision Dolby At...,687,87,4.1,17499,49990,Google,2024,64.99
86,Coocaa,Coocaa Frameless,43,Full HD,LED,HDR 10 Audio and Eye,1644,238,4.2,15999,39990,Google,2024,59.99
87,Thomson,Thomson Phoenix 2025 Edition,55,Ultra HD (4K),LED,Dol...,31911,5479,4.4,30999,49999,Google,2025,38.0
88,TCL,TCL C655,55,Ultra HD (4K),LED,T-SCREEN |Dolby Vision-Atmos | Hands...,2853,293,4.2,40990,121990,Google,2024,66.4
89,TCL,TCL T6C,43,Ultra HD (4K),LED,HDR10+ | Dolby Vision- A...,556,45,4.0,26990,59990,Google,2025,55.01
90,SONY,SONY,32,HD Ready,LED,Not Specified,837,116,4.6,24999,34900,Google,2024,28.37
91,TCL,TCL V6B,43,Ultra HD (4K),LED,24W Dolby Audio and Metallic Bezel-Les...,15593,1361,4.2,20990,52990,Google,2024,60.39
92,Samsung,Samsung Crystal 4K iSmart Series,65,Ultra HD (4K),LED,Crystal Proces...,18318,1277,4.3,64990,99990,Tizen,2023,35.0
93,Hisense,Hisense E6N,65,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",9842,1303,4.3,46999,79999,Google,2024,41.25
94,LG,LG UR7500,65,Ultra HD (4K),LED,"Alpha5 AI, AI Pictu...",23739,1727,4.4,62990,114990,webOS,2023,45.22
95,Samsung,Samsung Crystal 4K Vision Pro,50,Ultra HD (4K),LED,Bright Vision | 4...,51026,3779,4.3,39990,63900,Tizen,2024,37.42
98,Sansui,Sansui,32,HD Ready,LED,Dolby Digital | Surround Sound |...,20,2,4.3,10799,21490,Google,2024,49.75
100,Samsung,Samsung Crystal 4K Vision Pro,65,Ultra HD (4K),LED,Bright Vision | 4...,51026,3779,4.3,62990,96900,Tizen,2024,34.99
101,Acer,Acer Super Series,50,Ultra HD (4K),LED,Android 14 (Black) | MEMC |...,2095,226,4.1,35999,66999,Google,2024,46.27
103,Samsung,Samsung Crystal 4K Vivid,43,Ultra HD (4K),LED,4K Upscaling | Purcolo...,18318,1277,4.3,28490,44900,Tizen,2024,36.55
104,Reliance,Reliance,32,HD Ready,LED,"Android 12, 24 W Dolby Audio, Frameless De...",134,8,4.1,9490,21490,Android,2024,55.84
105,SONY,Unknown,55,Ultra HD (4K),LED,Not Specified,1278,228,4.7,62999,129900,Google,2023,51.5
108,Thomson,Thomson,65,Ultra HD (4K),LED,HDR 10 | Dolby Atmos | 40W Sound Outp...,31911,5479,4.4,41999,84999,Google,2022,50.59
109,LG,LG 32LMBPTC,32,HD Ready,LED,"Core Processor, HDR, 60 Hz Refresh Rate, ...",30136,1853,4.3,13590,24990,webOS,2020,45.62
110,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,and Engine ZR (2024 Edition),1682,226,4.2,34999,69999,VIDAA,2024,50.0
111,TOSHIBA,TOSHIBA C350NP,50,Ultra HD (4K),LED,Dolby Vision Atmos and REGZA En...,1695,365,4.2,27999,54999,Google,2024,49.09
113,TOSHIBA,TOSHIBA 55Z570RP,55,Ultra HD (4K),LED,Dolby Vision IQ ...,1682,226,4.2,41999,69999,VIDAA,2025,40.0
114,LG,LG,32,HD Ready,LED,Alpha5 Gen5 AI Processor | Magic Remote,5401,518,4.4,15990,23990,webOS,2022,33.35
115,XIAOMI,XIAOMI by Mi X Series,43,Ultra HD (4K),LED,Dolby Visio...,74950,5778,4.3,26999,42999,Google,2025,37.21
116,Samsung,Samsung,32,HD Ready,LED,SMART TV TIZEN HD,66672,5580,4.4,14490,22900,Tizen,2020,36.72
117,LG,LG QNED 75,55,Ultra HD (4K),LED,"AI, AI Picture Pr...",271,28,4.5,50499,109990,webOS,2024,54.09
118,Blaupunkt,Blaupunkt Cybersound,55,Ultra HD (4K),LED,Dolby MS12 & 60W Speaker...,7871,1808,4.5,29599,55999,Android,2021,47.14
120,Sansui,Sansui,40,Full HD,LED,Dolby Audio | Surround Sound | Bezel-Less Des...,2794,245,4.2,19490,34990,Google,2023,44.3
121,Hisense,Hisense E68N,43,Ultra HD (4K),LED,Dolby Vision Far Field Voice Con...,2826,459,4.2,25999,49999,Google,2024,48.0
122,XIAOMI,XIAOMI by Mi X Pro QLED,55,Ultra HD (4K),LED,4K Dolby Vision | Dol...,2661,195,4.0,41999,70999,Google,2024,40.85
123,Thomson,Thomson FA Series,42,Full HD,LED,Dolby Digital Plus &,126481,21839,4.3,14499,28499,Android,2023,49.12
125,XIAOMI,XIAOMI by Mi X Pro CineMagiQLED,43,Ultra HD (4K),LED,...,2661,195,4.0,30999,49999,Google,2025,38.0
126,Acer,Unknown,32,HD Ready,LED,(black) 2024 Model,2043,179,4.0,9999,23999,Google,2024,58.34
127,Samsung,Samsung,32,HD Ready,LED,Voice Search,19662,2442,4.4,19999,19999,Tizen,2020,0.0
128,TCL,Unknown,32,Full HD,LED,Metallic Bezel Less and Chromecast bu...,25159,1918,4.1,13499,22990,Android,2024,41.28
129,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,8304,929,4.0,5890,63999,Android,2024,90.8
130,Acer,Unknown,50,Ultra HD (4K),LED,(black) 2024 Model,2043,179,4.0,22990,22990,Google,2024,0.0
131,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,34990,Android,2025,83.17
132,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,5721,807,4.2,19999,52900,Android,2023,62.19
133,Samsung,Samsung Crystal 4K iSmart Series,43,Ultra HD (4K),LED,Crystal Proces...,18318,1277,4.3,27990,49990,Tizen,2023,44.01
134,iFFALCON,iFFALCON by TCL U62,43,Ultra HD (4K),LED,"24W Audio, HDR10 and Bezel...",79234,8506,4.2,19000,59999,Google,2022,68.33
135,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",9842,1303,4.3,31999,44999,Google,2024,28.89
136,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",9842,1303,4.3,21490,21490,Google,2024,0.0
137,Reliance,Reliance,32,HD Ready,LED,"Android 12, 24 W Dolby Audio, Frameless De...",191,18,4.2,9999,599990,Android,2023,98.33
138,TCL,TCL,98,Ultra HD (4K),LED,"Dolby Vision IQ, 60W ONK...",5,0,4.0,22999,22999,Google,2023,0.0
139,Blaupunkt,Blaupunkt Quantum Dot,32,HD Ready,LED,48W Sound Outpu...,11281,2790,4.5,10499,19999,Android,2025,47.5
140,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,25710,2989,4.2,13499,40990,Coolita,2025,67.07
141,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1282,157,4.1,12990,26999,Android,2025,51.89
143,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,5721,807,4.2,19999,29990,Android,2023,33.31
144,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,8304,929,4.0,7490,13999,Android,2024,46.5
145,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,25710,2989,4.2,7699,28499,Coolita,2025,72.99
146,Thomson,Thomson FA Series,42,Full HD,LED,Dolby Digital Plus &,126481,21839,4.3,14499,49990,Android,2023,71.0
148,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1282,157,4.1,7590,85900,Android,2025,91.16
149,SONY,Unknown,50,Ultra HD (4K),LED,Not Specified,113,15,4.5,22990,22990,Google,2024,0.0
150,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,47990,Android,2025,87.73
151,LG,LG UQ7550,43,Ultra HD (4K),LED,"Alpha5 AI Processor Gen5, AI Sound Pr...",4560,337,4.4,31990,34990,webOS,2023,8.57
153,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",9842,1303,4.3,21999,46999,Google,2024,53.19
154,Acer,Acer I PRO Series,43,Ultra HD (4K),LED,Android 14 (Black) | MEMC | ...,5496,570,4.2,23999,64900,Google,2024,63.02
155,Samsung,Samsung Crystal 4K iSmart Series,55,Ultra HD (4K),LED,Crystal Proces...,18318,1277,4.3,42990,49999,Tizen,2023,14.02
156,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",1695,365,4.2,28999,29999,Google,2025,3.33
157,Coocaa,Coocaa,43,Full HD,LED,Not Specified,40,12,4.5,16999,59999,Google,2025,71.67
158,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",6295,918,4.3,29999,79999,VIDAA,2025,62.5
159,Hisense,Hisense E6N,65,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",9842,1303,4.3,42999,42999,Google,2024,0.0
160,XIAOMI,XIAOMI by Mi X Series,43,Ultra HD (4K),LED,4K Dolby Vision |,74950,5778,4.3,25000,27990,Google,2023,10.68
161,Haier,Haier,32,HD Ready,LED,Not Specified,21,0,4.3,11990,19999,Not Specified,2023,40.05
162,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1282,157,4.1,12990,69999,Android,2025,81.44
163,Hisense,Hisense E7K,55,Ultra HD (4K),LED,Dolby Vision and Atmos,6295,918,4.3,15990,15990,VIDAA,2023,0.0
165,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,8304,929,4.0,7490,24990,Android,2024,70.03
166,Samsung,Samsung,32,HD Ready,LED,2025 LED Panel | Mega Contrast...,114,7,3.9,13959,28990,Android,2025,51.85
167,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1282,157,4.1,7590,13999,Android,2025,45.78
168,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,25710,2989,4.2,7699,19990,Coolita,2025,61.49
169,Sansui,Sansui Neo,32,HD Ready,LED,Not Specified,743,87,4.2,9990,87900,Linux,2022,88.63
170,Samsung,Samsung,55,Ultra HD (4K),LED,Not Specified,8304,929,4.0,22990,22990,Tizen,2025,0.0
171,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,1282,157,4.1,5890,22990,Android,2024,74.38
172,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,6,1,4.0,5890,29999,Android,2025,80.37
173,Reliance,Reliance,43,Full HD,LED,Cloud Base TV,33,2,3.9,19490,21990,Android,2025,11.37
174,Acer,Unknown,32,HD Ready,LED,"1.5GB RAM, Dolby Audio",9842,1303,4.3,12990,59999,Google,2024,78.35
175,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",191,18,4.2,29990,29990,Google,2024,0.0
176,Reliance,Reliance,32,HD Ready,LED,Next Generation Google Smart Q...,5721,807,4.2,12990,34990,Google,2025,62.88
177,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,9842,1303,4.3,19999,44999,Android,2023,55.56
178,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",225,21,4.2,21999,23000,Google,2024,4.35
179,Samsung,Samsung 4,32,HD Ready,LED,Not Specified,1695,365,4.2,21999,59999,Tizen,2021,63.33
180,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",1695,365,4.2,33999,49999,Google,2025,32.0
181,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",6295,918,4.3,28999,59999,Google,2025,51.67
182,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",29,5,4.1,29999,95900,VIDAA,2025,68.72
183,Samsung,Unknown,55,Ultra HD (4K),LED,2024 Model,951,148,4.1,68490,99999,Tizen,2024,31.51
184,Acer,Acer,70,Ultra HD (4K),LED,Not Specified,295,26,4.1,22999,22999,Google,2023,0.0
185,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,25710,2989,4.2,10499,124990,Google,2025,91.6
186,TCL,TCL,65,Ultra HD (4K),LED,MEMC | Dolby Vision-Atmos | H...,1282,157,4.1,19999,19999,Google,2025,0.0
187,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,37,7,4.3,13499,40990,Coolita,2025,67.07
188,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,7998,735,4.3,12990,41990,Android,2025,69.06
189,Sansui,Sansui,43,Ultra HD (4K),LED,Zen Panel Dolby Audio & Filmmaker mode,8304,929,4.0,26990,63999,Google,2024,57.83
191,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,11281,2790,4.5,7490,13999,Android,2024,46.5
192,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,1682,226,4.2,7699,21999,Coolita,2025,65.0
193,Blaupunkt,Blaupunkt Quantum Dot,40,Full HD,LED,48W Sound Outpu...,1282,157,4.1,15499,69999,Android,2025,77.86
194,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,and Engine ZR (2024 Edition),145,25,4.4,28990,28990,VIDAA,2024,0.0
195,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,8304,929,4.0,7590,159990,Android,2025,95.26
196,TCL,TCL T89C,65,Ultra HD (4K),LED,HVA Panel | Dolby Visio...,1282,157,4.1,22990,22990,Google,2025,0.0
197,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,36,16,4.0,5890,22990,Android,2024,74.38
198,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,4881,804,4.3,5890,25499,Android,2025,76.9
200,TOSHIBA,TOSHIBA M550MP,55,Ultra HD (4K),LED,"Full Array Local Dimming, Powe...",5721,807,4.2,37999,59999,Google,2023,36.67
201,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",2652,332,4.0,31999,34990,Google,2024,8.55
202,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,4436,728,4.2,19999,24990,Android,2023,19.97
203,InnoQ,InnoQ Spectra,32,HD Ready,LED,"30W Boom Speakers, Real Frameless, Noise Reduction,...",9842,1303,4.3,6990,55000,Not Specified,2024,87.29
205,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",951,148,4.1,21999,89999,Google,2024,75.56
206,TOSHIBA,TOSHIBA C450NP,65,Ultra HD (4K),LED,Dolby Vision Atmos and REGZA En...,25710,2989,4.2,22999,22999,VIDAA,2024,0.0
