,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
413,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,9842,1303,4.3,19999,257900,Android,2023,92.25
414,Samsung,Samsung 8,65,Ultra HD (4K),LED,Not Specified,5721,807,4.2,17500,17500,Tizen,2021,0.0
416,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",951,148,4.1,21999,49999,Google,2024,56.0
417,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",25710,2989,4.2,28999,299999,Google,2025,90.33
418,TOSHIBA,TOSHIBA 85Z570RP,85,Ultra HD (4K),LED,2.1CH REGZA powe...,1282,157,4.1,149999,149999,VIDAA,2025,0.0
419,Hisense,Hisense A6K,75,Ultra HD (4K),LED,"Hands Free Voice Control, Dolby Vi...",8304,929,4.0,22999,22999,Google,2023,0.0
420,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,48,11,4.3,10499,69990,Google,2025,85.0
422,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,4,0,4.3,12990,20490,Android,2025,36.6
424,Hisense,Hisense Q6N,65,Ultra HD (4K),LED,Dolby Vision Atmos Far Field Voic...,8304,929,4.0,29990,29990,Google,2024,0.0
425,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,76,10,4.3,7490,13999,Android,2024,46.5
426,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,19,0,4.7,7699,17999,Coolita,2025,57.23
428,LG,LG OLED A2,65,Ultra HD (4K),LED,"Alpha7 AI, AI Pic...",5721,807,4.2,28990,28990,webOS,2022,0.0
429,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,9842,1303,4.3,7590,45900,Android,2025,83.46
430,Samsung,Samsung 8100,43,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,22990,22990,Tizen,2021,0.0
431,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,1695,365,4.2,5890,22990,Android,2024,74.38
432,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,21,0,4.3,5890,27299,Android,2025,78.42
434,TCL,TCL V6B,75,Ultra HD (4K),LED,24W Audio and Metallic Bezel-Less,25710,2989,4.2,59999,59999,Google,2024,0.0
435,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",2095,226,4.1,31999,34990,Google,2024,8.55
436,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,9842,1303,4.3,19999,23990,Android,2023,16.64
437,Samsung,Samsung,32,HD Ready,LED,SMART TV TIZEN HD,1282,157,4.1,18990,24999,Tizen,2020,24.04
438,Samsung,Samsung,32,HD Ready,LED,SMART TV TIZEN HD,384,61,4.2,16999,44999,Tizen,2020,62.22
439,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",8304,929,4.0,21999,29990,Google,2024,26.65
441,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,4,0,3.5,10499,19999,Google,2025,47.5
442,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,13499,379900,Coolita,2025,96.45
443,SONY,SONY Bravia,75,Ultra HD (4K),LED,Not Specified,8304,929,4.0,149990,149990,Android,2022,0.0
445,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,15593,1361,4.2,12990,29990,Android,2025,56.69
446,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1282,157,4.1,7490,58990,Android,2024,87.3
448,Haier,Haier Bezel Less Google,43,Ultra HD (4K),LED,AI Smart Voice by Goo...,9842,1303,4.3,51990,72900,Android,2022,28.68
449,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,5721,807,4.2,7699,28990,Coolita,2025,73.44
450,Samsung,Samsung,55,Ultra HD (4K),LED,Not Specified,260,48,4.2,22990,22990,Tizen,2024,0.0
451,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,9842,1303,4.3,7590,24990,Android,2025,69.63
452,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,1695,365,4.2,5890,234937,Android,2024,97.49
453,LG,LG,32,HD Ready,LED,Not Specified,15593,1361,4.2,14390,22990,webOS,2019,37.41
454,LG,LG Nanocell,65,Ultra HD (4K),LED,Not Specified,19,1,4.1,34990,34990,webOS,2020,0.0
455,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,951,148,4.1,5890,112900,Android,2025,94.78
456,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,4,0,4.0,19999,24999,Android,2023,20.0
457,Samsung,Samsung,70,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,59999,59999,Tizen,2024,0.0
458,LG,LG,32,HD Ready,LED,LED Panel | Mega Contrast | PurCol...,82,4,4.0,16480,100757,webOS,2025,83.64
459,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",3163,382,4.5,31999,44999,Google,2024,28.89
460,Samsung,Samsung,65,Ultra HD (4K),LED,Not Specified,31,6,4.5,49999,49999,Tizen,2024,0.0
461,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",1282,157,4.1,21999,164990,Google,2024,86.67
462,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",8304,929,4.0,27990,27990,Google,2025,0.0
463,LG,LG,70,Ultra HD (4K),LED,Not Specified,49,15,3.9,22999,22999,webOS,2022,0.0
464,Haier,Haier,32,HD Ready,LED,Not Specified,25710,2989,4.2,11990,19999,Not Specified,2023,40.05
465,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,2826,459,4.2,10499,119999,Google,2025,91.25
466,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,13499,59990,Coolita,2025,77.5
467,Acer,Unknown,65,Ultra HD (4K),LED,Not Specified,8304,929,4.0,40990,40990,Google,2024,0.0
468,Hisense,Hisense A6K,50,Ultra HD (4K),LED,"Hands Free Voice Control, 120 High...",27,3,4.3,35990,79990,Google,2023,55.01
469,Coocaa,Coocaa Frameless,55,Ultra HD (4K),LED,"HDR 10+, Dolby Vision, Dolby...",5721,807,4.2,13999,13999,Google,2024,0.0
470,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,353,78,4.7,7490,399990,Android,2024,98.13
471,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,9842,1303,4.3,7699,64990,Coolita,2025,88.15
472,Samsung,Samsung,85,Ultra HD (4K),LED,Not Specified,7,0,4.0,28990,28990,Tizen,2024,0.0
473,Samsung,Samsung,50,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,22990,22990,Tizen,2024,0.0
474,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1695,365,4.2,7590,79999,Android,2025,90.51
475,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,951,148,4.1,5890,52990,Android,2024,88.88
477,TCL,TCL 43P635,43,Ultra HD (4K),LED,"""Dolby Audio & HDR10""",4,1,5.0,23990,59990,Google,2022,60.01
478,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,59999,Android,2025,90.18
480,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",8304,929,4.0,31999,219999,Google,2024,85.45
481,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,25710,2989,4.2,19999,29999,Android,2023,33.33
482,Hisense,Hisense U7K,75,Ultra HD (4K),LED,Not Specified,466,41,4.0,44999,44999,VIDAA,2023,0.0
484,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",8304,929,4.0,21999,52990,Google,2024,58.48
485,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",2826,459,4.2,28999,509990,Google,2025,94.31
486,TCL,TCL V6B,43,Ultra HD (4K),LED,24W Dolby Audio and Metallic Bezel-Les...,8549,1987,4.1,20990,22999,Google,2024,8.74
487,TCL,TCL,85,Ultra HD (4K),LED,T-SCREEN |Dolby Vision-Atmos | Hands-Free...,1282,157,4.1,129990,199990,Google,2024,35.0
488,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,692,100,4.3,10499,19999,Google,2025,47.5
489,Samsung,Samsung QN85BAKL,55,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,79999,79999,Tizen,2022,0.0
490,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,5721,807,4.2,13499,89990,Coolita,2025,85.0
491,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",917,167,4.1,38999,40990,Google,2024,4.86
492,LG,LG,55,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,29990,29990,webOS,2021,0.0
493,Samsung,Samsung,32,HD Ready,LED,Not Specified,1695,365,4.2,12990,155000,Tizen,2022,91.62
494,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,3,0,3.7,7490,219900,Android,2025,96.59
495,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,951,148,4.1,13999,13999,Android,2024,0.0
497,Samsung,Samsung Q60RAK,65,Ultra HD (4K),LED,Not Specified,1282,157,4.1,7699,28990,Tizen,2019,73.44
498,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,3,0,4.7,22990,22990,Coolita,2025,0.0
499,Hisense,Hisense U6K,43,Ultra HD (4K),LED,"Hands Free Voice Control, Vision ...",2794,245,4.2,7590,27999,Google,2023,72.89
500,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,8304,929,4.0,5890,56990,Android,2025,89.66
501,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,25710,2989,4.2,12999,22990,Android,2024,43.46
504,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,19999,299990,Android,2025,93.33
505,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,2826,459,4.2,59999,59999,Android,2023,0.0
506,Samsung,LED,65,Ultra HD (4K),QLED,Not Specified,74950,5778,4.3,40400,40400,Tizen,2025,0.0
507,SONY,SONY Bravia,75,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,31999,44999,Google,2021,28.89
508,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",5721,807,4.2,24999,49999,Google,2024,50.0
509,Samsung,Samsung 5,43,Full HD,LED,Not Specified,1007,126,4.2,21999,449990,TizenFull,2022,95.11
510,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",4,0,4.8,28999,249999,Google,2024,88.4
511,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",9842,1303,4.3,22999,22999,Google,2025,0.0
512,SONY,Unknown,75,Ultra HD (4K),LED,"Advanced AI Processor XR,...",8,3,4.1,19999,19999,Google,2024,0.0
513,TOSHIBA,TOSHIBA 85C380RP,85,Ultra HD (4K),LED,"Dolby Vision Atmos,, Fi...",951,148,4.1,10499,31990,VIDAA,2024,67.18
514,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,25710,2989,4.2,13499,76900,Google,2025,82.45
515,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,2,2,5.0,24520,40990,Coolita,2025,40.18
517,Samsung,Samsung,50,Ultra HD (4K),LED,Not Specified,1282,157,4.1,12990,29990,Tizen,2025,56.69
518,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,8304,929,4.0,13999,13999,Android,2025,0.0
519,TCL,TCL C755,55,Ultra HD (4K),LED,144Hz VRR and IMAX Enhanced,11,0,3.8,7490,549990,Google,2024,98.64
520,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,7871,1808,4.5,7699,29999,Android,2024,74.34
521,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,25710,2989,4.2,28990,28990,Coolita,2025,0.0
522,LG,LG Nanocell,75,Ultra HD (4K),LED,Not Specified,31,6,4.5,12989,22990,webOS,2020,43.5
523,Reliance,Reliance,32,Full HD,LED,Fremless Design and Magic Voice Remote.,1282,157,4.1,7590,89999,webOS,2024,91.57
524,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,8304,929,4.0,5890,97990,Android,2025,93.99
525,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,27096,4106,4.4,22990,22990,Android,2024,0.0
526,Hisense,Hisense U6K,55,Ultra HD (4K),LED,"Full Array Local Dimming, Hands F...",1052,110,4.1,27999,41999,Google,2023,33.33
528,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,9842,1303,4.3,24999,34990,Android,2025,28.55
529,Acer,Acer H PRO Series,43,Ultra HD (4K),LED,"76W PRO Speakers, Dolby Visi...",27,3,4.3,31999,34999,Google,2023,8.57
530,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",1052,110,4.1,19999,299900,Google,2024,93.33
531,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,5721,807,4.2,17999,44999,Android,2023,60.0
533,SONY,Unknown,55,Ultra HD (4K),LED,"Advanced AI Processor XR, Stu...",9842,1303,4.3,21999,59990,Google,2024,63.33
534,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",1695,365,4.2,28999,499990,Google,2024,94.2
535,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",10238,1152,4.0,22999,22999,Google,2025,0.0
536,Sansui,Sansui,55,Ultra HD (4K),LED,Not Specified,3,0,5.0,40400,40400,Google,2024,0.0
537,LG,LG Nanocell,75,Ultra HD (4K),LED,Not Specified,951,148,4.1,10499,19999,webOS,2019,47.5
538,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,25710,2989,4.2,27490,40990,Google,2025,32.93
539,Samsung,Samsung,43,Full HD,LED,300+ Free Channels | HDR | PurColor | Dolby D...,6,1,3.8,13499,24000,TizenFull,2024,43.75
540,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,12990,96900,Coolita,2025,86.59
541,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,12,4,4.5,11999,29990,Android,2025,59.99
543,Sansui,Sansui,70,Ultra HD (4K),LED,Dolby Vision & Atmos | DTS Sound | Zen ...,25710,2989,4.2,7490,249990,Google,2023,97.0
544,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,10,0,3.7,7699,15990,Android,2024,51.85
545,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,3,2,3.3,28990,28990,Coolita,2025,0.0
546,SONY,Unknown,55,Ultra HD (4K),LED,"Advanced AI Processor XR,...",1282,157,4.1,8201,147990,Google,2024,94.46
548,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,7,1,3.3,22990,22990,Android,2025,0.0
549,Samsung,Samsung BU8570UL,65,Ultra HD (4K),LED,Not Specified,1282,157,4.1,5890,109999,Tizen,2022,94.65
550,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,9,1,4.2,5890,34999,Android,2024,83.17
551,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,9842,1303,4.3,59999,59999,Android,2025,0.0
552,Hisense,Hisense U6K,65,Ultra HD (4K),LED,"Full Array Local Dimming, Hands F...",5721,807,4.2,28999,34990,Google,2023,17.12
553,XIAOMI,XIAOMI by Mi 4X,43,Ultra HD (4K),LED,Not Specified,63,9,3.8,31999,43990,Android,2019,27.26
554,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",9842,1303,4.3,19999,33790,Google,2024,40.81
555,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,1695,365,4.2,30990,44999,Android,2023,31.13
557,Haier,Haier,32,HD Ready,LED,"features Gogle Assistant, streaming services, ...",4,0,4.0,21999,22999,Google,2023,4.35
558,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",951,148,4.1,19999,19999,Google,2024,0.0
559,TOSHIBA,TOSHIBA Z670MP,85,Ultra HD (4K),LED,256 Zones Full Array Local Dimm...,8,1,3.1,10499,274900,VIDAA,2023,96.18
560,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,25710,2989,4.2,13499,58990,Google,2025,77.12
561,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,40990,40990,Coolita,2025,0.0
562,Samsung,Samsung Q Series,55,Ultra HD (4K),LED,Not Specified,62,12,4.2,29990,29990,Tizen,2018,0.0
564,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,25710,2989,4.2,7490,69999,Android,2025,89.3
565,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1282,157,4.1,13372,13999,Android,2024,4.48
566,Haier,Haier,32,HD Ready,LED,Not Specified,6,0,4.3,28990,28990,Linux,2022,0.0
567,Blaupunkt,Blaupunkt CyberSound G2 Series,65,Ultra HD (4K),LED,Dolby Atmos & 6...,8304,929,4.0,7699,22990,Google,2023,66.51
568,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,1282,157,4.1,7590,45000,Coolita,2025,83.13
569,Samsung,Samsung,32,HD Ready,LED,Not Specified,9,3,4.2,5890,29990,Tizen,2022,80.36
570,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,9842,1303,4.3,22990,22990,Android,2025,0.0
571,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,5721,807,4.2,23990,59999,Android,2024,60.02
573,Sansui,Sansui,40,Full HD,LED,Android 11 & Dolby Audio (Midnight Black),5,0,3.4,20990,20990,Android,2020,0.0
574,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,9842,1303,4.3,12999,34990,Android,2025,62.85
575,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",30797,4898,4.1,11599,59990,Google,2024,80.67
577,Sansui,Sansui,32,HD Ready,LED,Not Specified,6295,918,4.3,35990,49999,Android,2023,28.02
578,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,951,148,4.1,10499,10499,Android,2023,0.0
579,Reliance,Reliance,55,Ultra HD (4K),LED,Fremless Design and Voice Remote.,25710,2989,4.2,18999,18999,Google,2024,0.0
580,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",2,1,1.0,5499,22999,Google,2024,76.09
581,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",1282,157,4.1,8299,19999,Google,2025,58.5
584,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,25710,2989,4.2,26889,40990,Google,2025,34.4
585,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,35449,35449,Coolita,2025,0.0
588,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,95910,6457,4.3,7490,379990,Android,2025,98.03
589,SONY,SONY Bravia,32,HD Ready,LED,Alexa Compatibility,1282,157,4.1,7699,25490,Google,2022,69.8
590,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,152,4,3.9,28990,28990,Android,2024,0.0
591,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,5721,807,4.2,15289,22990,Coolita,2025,33.5
592,TCL,TCL C72K,75,Ultra HD (4K),LED,Precise Dimming Ser...,9842,1303,4.3,7590,54999,Google,2025,86.2
594,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,9842,1303,4.3,22990,22990,Android,2025,0.0
595,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,1695,365,4.2,14327,17990,Android,2024,20.36
598,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,951,148,4.1,19990,19990,Android,2025,0.0
600,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",25710,2989,4.2,8447,44999,Google,2024,81.23
601,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,82,4,4.0,10499,49999,Android,2023,79.0
604,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",1282,157,4.1,22999,22999,Google,2024,0.0
605,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",8304,929,4.0,11499,27000,Google,2025,57.41
606,TCL,TCL C7K,65,Ultra HD (4K),LED,Audio by Bang & Oluf...,25710,2989,4.2,10499,19999,Google,2025,47.5
608,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,1282,157,4.1,13499,24490,Google,2025,44.88
610,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,13999,13999,Coolita,2025,0.0
611,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,5721,807,4.2,14849,26990,Android,2025,44.98
614,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1282,157,4.1,16990,34990,Android,2024,51.44
615,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,1886,221,4.2,12899,22990,Coolita,2025,43.89
617,Haier,Haier,32,HD Ready,LED,Dolby Audio,1282,157,4.1,19480,25490,Not Specified,2021,23.58
618,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1886,221,4.2,5890,19999,Android,2025,70.55
619,Sansui,Unknown,40,Full HD,LED,Zen Panel Dolby Audio,4436,728,4.2,5890,59999,Not Specified,2023,90.18
620,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,25710,2989,4.2,17190,34990,Android,2024,50.87
621,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,2,1,3.5,13999,19999,Android,2025,30.0
623,iMEE,iMEE Elite,32,HD Ready,LED,SRS Surround Sound (BEE 5 Star),1282,157,4.1,19999,44999,Android,2021,55.56
624,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",610,68,4.3,13999,14990,Google,2024,6.61
625,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,9842,1303,4.3,8947,49999,Android,2023,82.11
626,iMEE,iMEE Elite,32,HD Ready,LED,SRS Surround Sound (BEE 5 Star),5721,807,4.2,21999,59999,Android,2021,63.33
628,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",687,87,4.1,28999,40900,Google,2024,29.1
629,Thomson,Thomson R9,32,HD Ready,LED,Not Specified,9842,1303,4.3,22999,22999,Not Specified,2018,0.0
630,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",1049,135,4.4,10599,19999,Google,2025,47.0
631,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",1695,365,4.2,26800,27399,VIDAA,2025,2.19
