,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
633,Haier,Unknown,43,Full HD,LED,Not Specified,871,78,4.3,13499,40990,Android,2022,67.07
634,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,951,148,4.1,18999,66900,Google,2025,71.6
635,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,25710,2989,4.2,14199,29990,Coolita,2025,52.65
637,iMEE,iMEE Supreme,32,HD Ready,LED,Not Specified,11281,2790,4.5,47999,47999,Android,2022,0.0
638,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,82,4,4.0,7490,110990,Android,2025,93.25
639,Samsung,Samsung Series 5,49,Full HD,LED,Not Specified,102,13,4.5,7699,28990,Not Specified,2018,73.44
640,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1282,157,4.1,22990,22990,Android,2024,0.0
641,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,8304,929,4.0,49490,154990,Coolita,2025,68.07
643,Haier,Haier,55,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,5890,22990,Google,2023,74.38
644,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1282,157,4.1,18117,18117,Android,2025,0.0
645,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,9,1,4.6,26989,34990,Android,2024,22.87
646,LG,LG OLED C2,48,Ultra HD (4K),LED,"Alpha9 AI, AI Pic...",45704,5375,4.2,5890,59999,webOS,2023,90.18
647,XIAOMI,XIAOMI by Mi A series,43,Full HD,LED,FHD | Dolby Audio | DTS : HD |...,8304,929,4.0,16999,59990,Google,2023,71.66
648,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,19999,59990,Android,2025,66.66
649,Samsung,Samsung,32,HD Ready,LED,Not Specified,5721,807,4.2,31999,44999,Linux,2019,28.89
650,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,11,0,3.8,36990,49999,Android,2023,26.02
651,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",3,0,1.3,39990,58992,Google,2024,32.21
652,LG,LG,43,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,21999,25900,webOS,2024,15.06
653,Sansui,Sansui,55,Ultra HD (4K),LED,IPS Display | Dolby Vision & Atmos | D...,9842,1303,4.3,22999,22999,Google,2022,0.0
654,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",951,148,4.1,41294,94500,Google,2024,56.3
655,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",30,3,4.5,9500,19999,Google,2025,52.5
656,LG,LG,43,Ultra HD (4K),LED,2023 Model,25710,2989,4.2,10499,79999,webOS,2023,86.88
658,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,271,28,4.5,13499,209990,Google,2025,93.57
659,Sansui,Sansui,70,Ultra HD (4K),LED,Not Specified,1282,157,4.1,38999,40990,Android,2022,4.86
660,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,8304,929,4.0,29990,29990,Coolita,2025,0.0
661,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",36,6,4.5,89990,192990,Google,2024,53.37
662,Samsung,Samsung 6,43,Ultra HD (4K),LED,Not Specified,5,0,3.4,12990,13999,Tizen,2021,7.21
663,LG,LG Nanocell,65,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,7490,49990,webOS,2020,85.02
664,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,6,1,4.8,28990,28990,Android,2025,0.0
665,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1282,157,4.1,18999,22990,Android,2024,17.36
666,Samsung,Samsung,55,Ultra HD (4K),LED,Not Specified,8304,929,4.0,7699,28999,Tizen,2021,73.45
668,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,6,1,4.8,7590,22990,Coolita,2025,66.99
669,Samsung,Samsung 7,43,Ultra HD (4K),LED,Not Specified,1282,157,4.1,5890,34990,Tizen,2021,83.17
670,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,5721,807,4.2,13300,119990,Android,2025,88.92
671,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,9842,1303,4.3,17500,17500,Android,2024,0.0
673,Samsung,Samsung,75,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,19999,24999,Tizen,2022,20.0
674,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1695,365,4.2,19999,19999,Android,2025,0.0
675,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,102,13,4.5,10430,40990,Android,2023,74.55
676,LG,LG Nanocell,55,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,31999,459900,webOS,2021,93.04
678,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",7,1,4.1,13499,28990,Google,2024,53.44
680,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,10,3,3.9,75000,75000,Coolita,2025,0.0
681,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1282,157,4.1,13999,13999,Android,2025,0.0
682,Samsung,Samsung QN800BK,65,Ultra HD (8K),LED,Not Specified,25710,2989,4.2,7490,279900,Tizen,2022,97.32
683,Samsung,Samsung The Frame,55,Ultra HD (4K),LED,Matte Display,8304,929,4.0,7590,22990,Tizen,2022,66.99
684,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1282,157,4.1,22990,22990,Android,2024,0.0
685,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,9842,1303,4.3,45999,60990,Android,2025,24.58
686,Samsung,Samsung The Frame,65,Ultra HD (4K),LED,Matte Display,5,0,4.6,7699,470900,Tizen,2022,98.37
688,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,9842,1303,4.3,5890,34990,Coolita,2025,83.17
689,Samsung,Samsung Q70RAK,65,Ultra HD (4K),LED,Not Specified,18301,2014,4.4,5890,32999,Tizen,2019,82.15
690,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,49,15,3.9,38990,99999,Android,2024,61.01
691,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1695,365,4.2,44999,44999,Android,2025,0.0
692,Haier,Haier,55,Ultra HD (4K),LED,Not Specified,6295,918,4.3,31999,134990,Google,2023,76.3
693,Samsung,Samsung Q Series,65,Ultra HD (4K),LED,Not Specified,1121,109,4.3,19999,49999,Tizen,2017,60.0
694,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",7,1,4.1,19999,59999,Google,2024,66.67
695,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,951,148,4.1,45999,99990,Android,2023,54.0
696,Acer,Acer Advanced I Series,43,Full HD,LED,"30W Audio, 16GB Storage, HDR1...",4,0,4.0,21999,73000,Google,2023,69.86
697,Coocaa,Coocaa Frameless,65,Ultra HD (4K),LED,HDR 10 Dolby Audio and Eye ca...,25710,2989,4.2,22999,22999,Google,2022,0.0
698,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",1282,157,4.1,19999,19999,Google,2024,0.0
699,LG,LG NANO73,65,Ultra HD (4K),LED,Magic Remote Control,10,3,3.9,29999,59490,webOS,2022,49.57
700,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",8304,929,4.0,45999,45999,Google,2025,0.0
701,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",25710,2989,4.2,42000,79999,VIDAA,2025,47.5
702,Samsung,Samsung,55,Ultra HD (4K),LED,"Quantum Processor, 100% Color...",1282,157,4.1,10499,249990,Tizen,2023,95.8
704,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,1282,157,4.1,29990,29990,Google,2025,0.0
705,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,19,7,4.3,27990,27990,Coolita,2025,0.0
706,LG,Unknown,43,Ultra HD (4K),LED,Not Specified,7,1,4.1,38999,99990,webOS,2021,61.0
707,Blaupunkt,Blaupunkt Quantum Dot,50,Ultra HD (4K),LED,Dolby Atmo...,9842,1303,4.3,13999,13999,Google,2025,0.0
708,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",5721,807,4.2,12990,28990,Google,2024,55.19
709,LG,LG,55,Ultra HD (4K),LED,Not Specified,31,6,4.1,7490,319990,webOS,2020,97.66
710,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,9842,1303,4.3,10390,29999,Android,2025,65.37
711,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,5,0,4.6,22990,22990,Android,2024,0.0
713,LG,LG Nanocell,49,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,7590,22990,webOS,2020,66.99
714,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,1282,157,4.1,34990,34990,Coolita,2025,0.0
715,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,8304,929,4.0,26990,26990,Android,2025,0.0
716,LG,LG OLED C2,65,Ultra HD (4K),LED,"Alpha9 AI, AI Pic...",8,2,4.8,5890,94900,webOS,2023,93.79
717,realme,realme,43,Full HD,LED,Not Specified,9,1,4.6,59999,59999,Android,2020,0.0
718,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,25710,2989,4.2,5890,44999,Android,2024,86.91
719,SONY,SONY Bravia,50,Ultra HD (4K),LED,Not Specified,43,5,4.6,19999,115990,Google,2022,82.76
720,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,13372,24990,Android,2025,46.49
721,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,8304,929,4.0,22999,22999,Android,2023,0.0
722,Haier,Haier,32,HD Ready,LED,Not Specified,16,8,4.3,31999,38990,Linux,2022,17.93
723,Samsung,Samsung The Frame,50,Ultra HD (4K),LED,2024 Model,1282,157,4.1,19999,19999,Tizen,2024,0.0
724,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",9842,1303,4.3,65990,79999,Google,2024,17.51
725,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",4,1,5.0,19990,84990,Google,2024,76.48
726,Samsung,Samsung 7,65,Ultra HD (4K),LED,Not Specified,8,2,4.4,10499,99999,Tizen,2021,89.5
728,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,9842,1303,4.3,13499,29990,Google,2025,54.99
729,Haier,Haier,43,Full HD,LED,Not Specified,1695,365,4.2,38999,119990,Android,2020,67.5
730,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,18301,2014,4.4,19999,19999,Coolita,2025,0.0
731,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",18,3,3.6,13999,13999,Google,2024,0.0
732,LG,LG QNED 75,43,Ultra HD (4K),LED,"Alpha5 AI, AI Pic...",7,1,3.6,12990,219990,webOS,2024,94.1
733,Haier,Haier,58,Ultra HD (4K),LED,Not Specified,16,0,4.5,7490,28990,Android,2021,74.16
734,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,3,0,2.0,22990,22990,Android,2025,0.0
735,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,481,49,4.3,8947,34990,Android,2024,74.43
736,TCL,TCL C6K,55,Ultra HD (4K),LED,512+ Local Dimming Z...,40,12,4.5,7699,84990,Google,2025,90.94
738,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,16,1,3.5,7590,34990,Coolita,2025,78.31
739,Samsung,Samsung QN90BAKL,55,Ultra HD (4K),LED,Not Specified,5,0,3.8,5890,239900,Tizen,2022,97.54
740,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,28,3,3.6,19480,41490,Android,2025,53.05
741,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,3,0,3.7,56890,59999,Android,2024,5.18
742,Sansui,Unknown,40,Full HD,LED,Zen Panel Dolby Audio,28,3,3.6,5890,23240,Not Specified,2023,74.66
743,SONY,SONY Bravia,50,Ultra HD (4K),LED,Not Specified,28,3,3.6,19999,44999,Not Specified,2021,55.56
744,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,9,2,4.0,49999,49999,Android,2025,0.0
745,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,8,1,4.8,24090,249990,Android,2023,90.36
746,Samsung,Samsung,75,Ultra HD (4K),LED,Not Specified,3204,629,4.1,31999,164990,Tizen,2022,80.61
748,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",0,0,0.0,21999,40990,Google,2024,46.33
749,LG,Unknown,32,Full HD,LED,Not Specified,0,0,0.0,28999,254990,webOS,2022,88.63
750,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",0,0,0.0,67990,67990,Google,2024,0.0
751,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",0,0,0.0,29990,29990,Google,2025,0.0
752,LG,LG,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,13499,249900,webOS,2020,94.6
753,LG,LG,70,Ultra HD (4K),LED,Not Specified,0,0,0.0,12990,28990,webOS,2022,55.19
754,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,0,0,0.0,13999,13999,Coolita,2025,0.0
755,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,0,0,0.0,45990,45990,Android,2025,0.0
756,LG,LG Nanocell,65,Ultra HD (4K),LED,Not Specified,0,0,0.0,7490,11999,webOS,2020,37.58
757,LG,LG,50,Ultra HD (4K),LED,WebOS | ThinQ AI | 4K Upscaling,0,0,0.0,22990,22990,webOS,2023,0.0
758,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,0,0,0.0,7590,22990,Android,2024,66.99
759,SONY,Unknown,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,7699,82900,Android,2019,90.71
760,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,0,0,0.0,6599,59999,Coolita,2025,89.0
761,Haier,Haier,43,Full HD,LED,Not Specified,0,0,0.0,5890,324990,Not Specified,2021,98.19
762,iMEE,iMEE,24,HD Ready,LED,MATAL BODY,0,0,0.0,5890,34990,Android,2024,83.17
763,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,0,0,0.0,44999,44999,Android,2024,0.0
764,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,0,0,0.0,119990,119990,Android,2025,0.0
765,Samsung,Unknown,55,Ultra HD (4K),LED,TABLE MOUNT,0,0,0.0,31999,155000,Tizen,2023,79.36
766,Samsung,Unknown,98,Ultra HD (4K),LED,Not Specified,0,0,0.0,49999,49999,Tizen,2024,0.0
767,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",0,0,0.0,19999,59999,Google,2024,66.67
768,LG,LG OLED,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,21999,23990,webOS,2017,8.3
769,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,0,0,0.0,69990,254990,Android,2023,72.55
770,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",0,0,0.0,22999,22999,Google,2024,0.0
771,LG,LG,65,Ultra HD (4K),LED,Not Specified,0,0,0.0,28999,589900,webOS,2021,95.08
773,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",0,0,0.0,17499,40990,Google,2025,57.31
774,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",0,0,0.0,67990,67990,VIDAA,2025,0.0
775,LG,LG,32,HD Ready,LED,Not Specified,0,0,0.0,10499,249900,Linux,2018,95.8
776,LG,LG Nanocell,65,Ultra HD (4K),LED,Not Specified,0,0,0.0,29990,29990,webOS,2020,0.0
777,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,0,0,0.0,13499,13999,Google,2025,3.57
778,Samsung,Samsung QN90BAK,75,Ultra HD (4K),LED,Not Specified,0,0,0.0,12990,45990,Tizen,2022,71.75
779,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,0,0,0.0,11999,11999,Coolita,2025,0.0
780,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,0,0,0.0,28990,28990,Android,2025,0.0
781,LG,LG,50,Ultra HD (4K),LED,WebOS | ThinQ AI | 4K Upscaling,0,0,0.0,7490,82900,webOS,2023,90.97
782,SONY,Unknown,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,7699,22990,Android,2019,66.51
783,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,0,0,0.0,22990,22990,Android,2024,0.0
784,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,0,0,0.0,6599,67324,Coolita,2025,90.2
785,Haier,Haier,43,Full HD,LED,Not Specified,0,0,0.0,7590,164900,Not Specified,2021,95.4
786,iMEE,iMEE,24,HD Ready,LED,MATAL BODY,0,0,0.0,52990,59999,Android,2024,11.68
787,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,0,0,0.0,5890,34990,Android,2025,83.17
788,Samsung,Unknown,55,Ultra HD (4K),LED,TABLE MOUNT,0,0,0.0,5890,41666,Tizen,2023,85.86
789,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,0,0,0.0,44999,44999,Android,2025,0.0
790,LG,Unknown,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,31999,324990,webOS,2022,90.15
791,Samsung,Samsung,50,Ultra HD (4K),QLED,Not Specified,0,0,0.0,19999,22999,Tizen,2023,13.04
792,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",0,0,0.0,19999,19999,Google,2024,0.0
793,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,0,0,0.0,104990,104990,Android,2023,0.0
795,Samsung,Unknown,98,Ultra HD (4K),LED,Not Specified,0,0,0.0,40990,40990,Tizen,2024,0.0
796,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",0,0,0.0,10499,29990,Google,2024,64.99
797,LG,LG OLED,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,13499,89990,webOS,2017,85.0
798,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,0,0,0.0,63210,319990,Google,2025,80.25
799,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,0,0,0.0,13999,13999,Coolita,2025,0.0
801,Samsung,Samsung QN700BK,65,Ultra HD (8K),LED,Not Specified,0,0,0.0,7490,28990,Tizen,2022,74.16
802,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,0,0,0.0,22990,22990,Android,2025,0.0
803,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,0,0,0.0,169990,249990,Android,2024,32.0
804,LG,Unknown,55,Ultra HD (4K),LED,"True Cinema Experience, Unlimited Entertai...",0,0,0.0,7699,125900,webOS,2021,93.88
805,LG,LG OLED C2,65,Ultra HD (4K),LED,"Alpha9 AI, AI Pic...",0,0,0.0,22990,22990,webOS,2023,0.0
806,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,0,0,0.0,7590,59999,Coolita,2025,87.35
807,Samsung,Samsung Q60RAK,49,Ultra HD (4K),LED,Not Specified,0,0,0.0,5890,219990,Tizen,2019,97.32
808,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,0,0,0.0,129990,219900,Android,2025,40.89
809,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,0,0,0.0,34990,34990,Android,2024,0.0
810,Haier,Haier M80,75,Ultra HD (4K),LED,"Dolby Vision, 2.1 ...",0,0,0.0,5890,135900,Google,2025,95.67
811,Samsung,Samsung,50,Ultra HD (4K),LED,Not Specified,0,0,0.0,31999,44999,Tizen,2016,28.89
812,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,0,0,0.0,49999,49999,Android,2025,0.0
813,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",0,0,0.0,114900,135900,Google,2024,15.45
814,LG,LG,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,19999,59990,webOS,2022,66.66
815,LG,Unknown,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,14999,14999,webOS,2022,0.0
816,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,0,0,0.0,21999,87318,Android,2023,74.81
817,Samsung,Samsung 8,65,Ultra HD (4K),LED,Not Specified,0,0,0.0,28999,86900,Tizen,2021,66.63
818,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",0,0,0.0,10999,10999,Google,2024,0.0
819,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",0,0,0.0,36990,48990,Google,2025,24.49
820,Samsung,Samsung,65,Ultra HD (4K),LED,Not Specified,0,0,0.0,8499,16999,Tizen,2021,50.0
821,LG,LG,43,Ultra HD (4K),LED,Not Specified,0,0,0.0,13999,13999,webOS,2021,0.0
823,Samsung,Samsung,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,6921,137900,Tizen,2022,94.98
824,Samsung,Unknown,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,36990,335990,Tizen,2021,88.99
827,Coocaa,Coocaa,32,HD Ready,LED,Not Specified,0,0,0.0,45990,78900,Google,2025,41.71
828,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,0,0,0.0,18999,18999,Coolita,2025,0.0
829,TCL,TCL,43,Full HD,LED,"FULLY ANDROID TV, 00,000 HOURS+ OF STREAM...",0,0,0.0,71890,89990,Android,2024,20.11
830,LG,Unknown,32,Full HD,LED,LG,0,0,0.0,18999,18999,webOS,2024,0.0
831,Samsung,Samsung,65,Ultra HD (4K),LED,Not Specified,0,0,0.0,18999,18999,Tizen,2022,0.0
832,Haier,Haier C90,65,Ultra HD (4K),LED,Dolby Vision IQ |2.1 C...,0,0,0.0,27999,189566,Google,2025,85.23
833,iMEE,iMEE Elite,43,HD Ready,LED,SRS Surround Sound (BEE 5 Star),0,0,0.0,46890,239990,Android,2021,80.46
834,iMEE,iMEE Elite,43,HD Ready,LED,SRS Surround Sound (BEE 5 Star),0,0,0.0,10914,72900,Android,2021,85.03
835,Samsung,Samsung,50,Ultra HD (4K),LED,Not Specified,0,0,0.0,44000,44000,Tizen,2021,0.0
836,iMEE,iMEE Premium,32,HD Ready,LED,SRS Surround Sound (BEE 5 Star),0,0,0.0,11899,45900,Android,2021,74.08
837,Samsung,Samsung 6,50,Ultra HD (4K),LED,Not Specified,0,0,0.0,12999,139990,Tizen,2021,90.71
838,iMEE,iMEE Premium,32,HD Ready,LED,SRS Surround Sound (BEE 5 Star),0,0,0.0,124890,124890,Android,2021,0.0
839,iMEE,iMEE Premium,32,HD Ready,LED,SRS Surround Sound (BEE 5 Star),0,0,0.0,99990,99990,Android,2021,0.0
840,Samsung,Unknown,55,Ultra HD (4K),LED,Not Specified,0,0,0.0,44990,44990,Tizen,2024,0.0
841,TCL,TCL C7K,65,Ultra HD (4K),LED,Audio by Bang & Oluf...,0,0,0.0,22799,22799,Google,2025,0.0
842,Samsung,Samsung 8,50,Ultra HD (4K),LED,Not Specified,0,0,0.0,26900,26900,Tizen,2021,0.0
843,Blaupunkt,Blaupunkt GenZ Smart,49,Full HD,LED,Not Specified,0,0,0.0,59999,59999,Android,2019,0.0
